Sample_ID,IGSN,Material,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,Fe2O3T,FeO,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,H2OM,H2OP,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ag,Al,As,Ba,Be,Bi,Ca,Cd,Co,Cr,Cs,Cu,Ga,Ge,Hf,In,K,Li,Mg,Mn,Mo,Na,Nb,Ni,P,Pb,Rb,S,Sb,Sc,Se,Sn,Sr,Ta,Te,Th,Ti,Tl,U,V,W,Y,Zn,Zr,Latitude,Longitude,Elevation,Rock,Reference,Method,Expedition
ARGMONS-110-001, ,WR,45.99,3.44,17.46,,6.77,,3.99,10.25,0.21,6.63,10.72,3.21,1.17,0.72,,,1.28,33.81,78.54,,,10.01,3.14,,1.33,,,,,2.46,0.36,,,,194,,,,,62,418,0.72,,,,7.73,,,,,,,,54,162,,,19,,,23,,,667,,,3.42,,,1.01,302,,37,97,312,-41.46,-164.283,-900,"ALKALI BASALT, igneous:volcanic:mafic","HAWKINS, 1987",NN; TITR; XRF; INAA,MONSOON 
BOSMAXX-95TRBD-010, ,WR,48.44,1.65,17,,9.33,,,,0.16,4.93,8.99,3.26,1.16,0.6,,,,25,47.6,5.28,23.6,4.94,1.7,5.23,0.88,5.38,1.08,3.22,0.5,3.09,0.47,,,,228,,,,,,98.5,1.49,,,,3.77,,,,,,,,37.1,,,1.98,19.6,,,,,,330,2.51,,3.11,,,0.78,222,,33.4,,170,31.533,135.827,-2462,"BASALT, igneous:volcanic:mafic","ISHIZUKA, 2009",XRF; ICPMS,BOSE-MAR 
DSDP022-0216/029-002, ,GL,50.41,1.73,13.33,0.04,,,12.49,,0.2,7.33,11.59,2.27,0.15,0.19,,,,5.2,13.5,2.12,10.1,3.3,1.13,4.3,0.81,5.2,1.21,3.2,0.53,3.2,0.5,,,,29,,,,,,,,,,,2.4,,,,,,,,5.8,,,0.49,3.8,,,,,,111,0.37,,0.66,,,0.13,,,36,,99,1.4627,90.208,-477.5,"BASALT, igneous:volcanic:mafic","FREY, 2011",EMP; LA-ICPMS,DSDP-22
DSDP022-0216/030-002, ,GL,50.31,2.1,13.07,0.03,,,13.17,,0.22,6.65,10.94,2.57,0.29,0.22,,,,8.7,22.1,3.24,14.6,4.2,1.39,5,0.92,5.8,1.26,3.5,0.52,3.3,0.5,,,,53,,,,,,,,,,,3,,,,,,,,10.1,,,0.8,6.7,,,,,,156,0.66,,0.94,,,0.24,,,38,,126,1.4627,90.208,-477.5,"BASALT, igneous:volcanic:mafic","FREY, 2011",EMP; LA-ICPMS,DSDP-22
DSDP022-0216/030-005, ,GL,50.46,1.88,13.25,0.05,,,13.18,,0.21,7.02,11.16,2.43,0.18,0.19,,,,5.9,15.6,2.39,11.4,3.7,1.25,4.6,0.9,5.7,1.25,3.5,0.54,3.4,0.51,,,,36,,,,,,,,,,,2.6,,,,,,,,6.8,,,0.72,4.5,,,,,,115,0.43,,0.6,,,0.15,,,38,,107,1.4627,90.208,-477.5,"BASALT, igneous:volcanic:mafic","FREY, 2011",EMP; LA-ICPMS,DSDP-22
KAK19XX-006-007F, ,WR,46.3,1.66,10.54,,2.22,,9.42,,0.17,16.95,8.77,1.73,0.1,0.19,,0.94,0.76,,18.4,,12.8,3.54,1.24,3.99,,4.16,,,,1.67,0.23,,,,74.6,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,217,,,,,,,,,,,,25.6833,-167.6967,-1290,"BASALT, igneous:volcanic:mafic","GARCIA, 1987",XRF; MS-ID; AAS; TITR; COL; NN,KK19XX 
KAK19XX-020-008J, ,WR,57.65,1.09,18.67,,2.72,,1.2,,0.13,1.41,5.08,5.36,4.63,1.13,,0.41,0.14,,157,,60.3,9.52,2.84,7.5,,5.7,,2.53,,2.12,0.273,,,,940,,,,,,,,,,,,,,,,,,,,,,,95.6,,,,,,965,,,,,,,,,,,,26.4533,-177.86,-930,"BASALT, igneous:volcanic:mafic","GARCIA, 1987",XRF; MS-ID; AAS; TITR; COL; NN,KK19XX 
KAK19XX-041-A, ,WR,45.95,3.92,15.26,,6.79,,6.34,,0.21,4.7,8.58,3.41,1.27,0.63,,1.45,1.37,,70,,41.6,9.5,3.21,,,8.9,,4.4,,3.02,0.38,,,,340,,,,,,,,,,,,,,,,,,,,,,,24.7,,,,,,736,,,,,,,,,,,,24.0483,-166.56,-1040,"BASALT, igneous:volcanic:mafic","GARCIA, 1987",XRF; MS-ID; AAS; TITR; COL; NN,KK19XX 
KAK19XX-051-A, ,WR,42.6,3.84,13.32,,4.4,,10.38,,0.2,5.72,8.91,3.29,0.86,2.97,,2.27,0.9,,104,,81.4,22.3,7.17,,,22,,,,4,0.56,,,,230,,,,,,,,,,,,,,,,,,,,,,,10.5,,,,,,828,,,,,,,,,,,,23.25,-163.1017,-730,"BASALT, igneous:volcanic:mafic","GARCIA, 1987",XRF; MS-ID; AAS; TITR; COL; NN,KK19XX 
MELGLOR-4-002-001, ,GL,48.78,2.17,17.41,,,,,10.5,0.18,6.8,9.61,4.16,0.66,0.43,,,,14.6,34.8,4.67,20.6,5.26,1.82,5.9,1,6.33,1.3,3.69,0.56,3.48,0.54,,,,92.5,,,,,,,0.115,,,,4.39,,,,,,,,20.5,,,1.23,10.6,,,,,,323,1.26,,1.58,,,0.45,,,36,,205,-17.16,-118.91,,"ALKALI BASALT, igneous:volcanic:mafic","JANNEY, 2000",EMP; ICPMS,GLOR04MV 
